Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
Config Admin,,Test configuration with multiple files path,3p,Integration,-,,,,,,NamedConfigurationPathContentFactoryTest#testCreateWithMultipleFiles
Config Admin,,Test configuration with nested directory,3q,Integration,-,,,,,,NamedConfigurationPathContentFactoryTest#testCreateWithNestedDirectory
Config Admin,,Test Group 4 - Configuration Cluster,,,,,,,,,
Config Admin,,SynchronousConfigurationListener,4a,Manual,,3,,,,,
Config Admin,,Test Group 5 - Persistence Manager Implementation,,,,,,,,,
Config Admin,,Store,5a,Manual,-,3,,,,,Needs unit test
Config Admin,,Get Dictionaries,5b,Manual,-,3,,,,,Needs unit test
Config Admin,,Exists,5c,Manual,-,3,,,,,Needs unit test
Config Admin,,Delete,5d,Manual,-,3,,,,,Needs unit test
Config Admin,,Load,5e,Manual,-,3,,,,,Needs unit test
Config Admin,,Reload,5f,Manual,-,3,,,,,Needs unit test
Config Admin,,Test Group 6 - Configuration Under Load,,,,,,,,,
Config Admin,,Creat full load,6a,Manual,20,3,,,,,
Config Admin,,Test Group 7 - Upgrade,,,,,,,,,
Config Admin,,Upgrade configuration files,7a,Manual,,4,,,,,
Config Admin,,Upgrade configuration table (LPS-89497),7b,Manual,,4,,,,,Bug still open
Config Admin,,Test Group 8 - Viewing Properties,,,,,,,,,
Config Admin,, View all Portal Properties in Portal UI,8a,Functional,,4,,,,,Serveradministration#ViewSystemAndPortalProperties
Config Admin,, View all System Properties in Portal UI,8b,Functional,,4,,,,,Serveradministration#ViewSystemAndPortalProperties
DB Upgrade Client,DB Upgrade Client,,,,,,,,,,
DB Upgrade Client,,Test Group 1 - Run DB Upgrade Client with specific properties set,,,,,,,,,
DB Upgrade Client,,Run DB Upgrade client with no properties set,1a,Functional,-,5,,,,,ant > check-upgrade-properties-none-set
DB Upgrade Client,,Run DB Upgrade client with only app-server and portal-upgrade-database properties set,1b,Functional,-,4,,,,,ant > check-upgrade-properties-app-db-set
DB Upgrade Client,,Run DB Upgrade client with only portal-upgrade-ext and portal-upgrade-database properties set,1c,Functional,-,3,,,,,ant > check-upgrade-properties-db-ext-set
DB Upgrade Client,,Run DB Upgrade client with only portal-upgrade-ext and app-server properties set,1d,Functional,-,3,,,,,ant > check-upgrade-properties-app-ext-set
DB Upgrade Client,,Test Group 2 - Run DB Upgrade Client in specific environments,,,,,,,,,
DB Upgrade Client,,Run DB Upgrade client in Java 7,2a,Functional,-,4,,,,,ant > check-upgrade-client-java-version
DB Upgrade Client,,Run DB Upgrade client in JBoss,2b,Functional,-,4,,,,,PortalSmokeUpgrade.testcase
DB Upgrade Client,,Run DB Upgrade client in WebSphere,2c,Functional,-,4,,,,,PortalSmokeUpgrade.testcase
DB Upgrade Client,,Run DB Upgrade client in WebLogic,2d,Functional,-,4,,,,,PortalSmokeUpgrade.testcase
DB Upgrade Client,,Run DB Upgrade client in Tomcat,2e,Functional,-,5,,,,,PortalSmokeUpgrade.testcase
DB Upgrade Client,,Run DB Upgrade client in Wildfly,2f,Functional,-,4,,,,,PortalSmokeUpgrade.testcase
DB Upgrade Client,,Run DB Upgrade client in tcServer (<= 7.1),2g,Functional,-,3,,,,,PortalSmokeUpgrade.testcase
DB Upgrade Client,,Test Group 3 - Run DB Upgrade client with specific parameters,,,,,,,,,
DB Upgrade Client,,Run DB Upgrade client with help parameter,3a,Functional,-,3,,,,,ant > check-upgrade-client-help
DB Upgrade Client,,Run DB Upgrade client with JVM parameters,3b,Functional,-,4,,,,,ant > check-upgrade-client-additional-settings
DB Upgrade Client,,Run DB Upgrade client with log file parameter,3c,Functional,-,4,,,,,ant > check-upgrade-client-custom-log
DB Upgrade Client,,Run DB Upgrade client with shell parameter using the jar,3d,Functional,-,4,,,,,ant > check-upgrade-client-gogoshell
DB Upgrade Client,,Run DB Upgrade script with shell parameter on Windows,3e,Manual,10,4,,,,,https://issues.liferay.com/browse/LRQA-53826
DB Upgrade Client,,Test Group 4 - Run DB Upgrade client with specific configurations,,,,,,,,,
DB Upgrade Client,,Run DB Upgrade client configured to run module upgrades individually,4a,Functional,-,5,,,,,ant > check-upgrade-client-upgrade-core-only
DB Upgrade Client,,Test Group 5 - Gogo shell,,,,,,,,,
DB Upgrade Client,,Check for help output ,5a,Manual,10,4,,,,,https://issues.liferay.com/browse/LRQA-53823
DB Upgrade Client,,Gogo shell connection after failed upgrade,5b,Functional,,4,,,,,ant > check-upgrade-client-gogoshell-failed-upgrade
DB Upgrade Client,,Gogo shell command output,5c,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53825
DB Upgrade Client,,Test Group 6 - Upgrade over SSH connection,,,,,,,,,
DB Upgrade Client,,Disconnect and Reconnect to running upgrade,6a,Functional,-,5,,,,,ant > check-upgrade-client-sh-disconnect
DB Upgrade Client,,Gogo shell connection closed after failed upgrade,6b,Manual,20,2,,,,,
DB Upgrade Client,,Disconnect and Attempt to start a second upgrade process,6c,Functional,20,3,,,,,ant > check-upgrade-client-second-process
DB Upgrade Client,,Test Group 7 - Upgrade client distribution,,,,,,,,,
