Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
Setup Wizard,,Add Sample Data,2b,Functional,-,4,,,,,SetupWizardHSQL#HSQLtoHSQLLportal1SampleDataEnabled
Setup Wizard,,Modify Administrator User,2c,Functional,-,4,,,,,SetupWizardHSQL#ViewConfiguredSetupWizardValue
Setup Wizard,,Changing Database,2d,Functional,-,4,,,,,SetupWizard#HypersonicToMySQL
Setup Wizard,,Verify if empty string is allowed for all fields,2e,Functional,-,3,,,,,SetupWizard#HypersonicWithSpecialContent
Setup Wizard,,Verify if special characters is allowed for all fields,2f,Functional,-,3,,,,,SetupWizard#HypersonicWithSpecialContent
Setup Wizard,,Test Group 3 - Selecting different databases,,,,,,,,,
Setup Wizard,,Default Database Hypersonic,3a,Functional,-,3,,,,,SetupWizardHSQL#HSQLtoHSQLLportal1SampleDataDisabled
Setup Wizard,,MySQL,3b,Functional,-,5,,,,,SetupWizardMySQL.testcase
Setup Wizard,,MySQL with Sample Data,3c,Functional,-,4,,,,,SetupWizardHSQL#HSQLtoMySQLSampleDataEnabled
Setup Wizard,,MariaDB,3d,Functional,-,4,,,,,SetupWizardHSQL#HSQLtoMariaDB
Setup Wizard,,MariaDB with Sample Data,3e,Functional,-,3,,,,,SetupWizardHSQL#HSQLtoMariaDBSampleDataEnabled
Setup Wizard,,PostgreSQL,3f,Functional,-,4,,,,,SetupWizardHSQL#HSQLtoPostgreSQL
Setup Wizard,,PostgreSQL with Sample Data,3g,Functional,-,3,,,,,SetupWizardHSQL#HSQLtoPostgreSQLSampleDataEnabled
Setup Wizard,,Oracle,3h,Functional,-,5,,,,,SetupWizardHSQLEE#HSQLtoOracle
Setup Wizard,,Oracle with Sample Data,3i,Functional,-,3,,,,,SetupWizardHSQLEE#HSQLtoOracleSampleDataEnabled
Setup Wizard,,SQL Server,3j,Manual,,5,,,,,https://issues.liferay.com/browse/LRQA-53782
Setup Wizard,,SQL Server with Sample Data,3k,Manual,,3,,,,,https://issues.liferay.com/browse/LRQA-53782
Setup Wizard,,Sybase,3l,Functional,-,4,,,,,SetupWizardHSQLEE#HSQLtoSybase
Setup Wizard,,Sybase with Sample Data,3m,Functional,-,3,,,,,SetupWizardHSQLEE#HSQLtoSybaseSampleDataEnabled
Setup Wizard,,DB2,3l,Functional,-,4,,,,,SetupWizardHSQLEE#HSQLtoDB2
Setup Wizard,,DB2 with Sample Data,3m,Functional,-,3,,,,,SetupWizardHSQLEE#HSQLtoDB2SampleDataEnabled
Upgrades,Upgrades,,,,,,,,,,
Upgrades,,Test Group 1 - Performance/Large Database,,,,,,,,,
Upgrades,,Upgrade large number of the most common elements from 6.1.30 (<=7.1),1a,Manual,60,3,,,,,
Upgrades,,Upgrade large number of the most common elements from 6.2.10,1b,Manual,60,5,,,,,https://issues.liferay.com/browse/LRQA-50579
Upgrades,,Upgrade large number of the most common elements from 7.0,1c,Manual,60,5,,,,,https://issues.liferay.com/browse/LRQA-50579
Upgrades,,Upgrade large number of the most common elements from 7.1 ,1d,Manual,60,4,,,,,https://issues.liferay.com/browse/LRQA-50579
Upgrades,,Test Group 2 - Common Paths (should use more variety of objects),,,,,,,,,
Upgrades,,Direct upgrade from latest 6.1 CE release  (<=7.1),2a,Manual,-,2,,,,,Automation removed due to low priority
Upgrades,,Direct upgrade from latest 6.1 EE release  (<=7.1),2b,Functional,-,4,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Direct upgrade from latest 6.2 CE release,2c,Functional,-,2,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Direct upgrade from latest 6.2 EE release,2d,Functional,-,5,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Direct upgrade from latest 7.0 CE release,2e,Functional,-,3,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Direct upgrade from latest 7.0 DXP release,2f,Functional,-,5,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Direct upgrade from latest 7.1 CE release,2g,Functional,-,3,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Direct upgrade from latest 7.1 DXP release,2h,Functional,-,5,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Direct upgrade from latest 7.2 CE release,2i,Functional,-,3,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Direct upgrade from latest 7.2 DXP release,2j,Functional,-,5,,,,,PortalSmokeUpgrade.testcase
Upgrades,,Test Group 3 - Permissions Persistence,,,,,,,,,
Upgrades,,User group pages permission,3a,Manual,30,3,,,,,https://issues.liferay.com/browse/LRQA-42909
Upgrades,,Roles assignment,3b,Manual,30,4,,,,,https://issues.liferay.com/browse/LRQA-42910
Upgrades,,Portlet permissions,3c,Functional,-,4,,,,,PortletsPermissionsUpgrade.testcase
Upgrades,,Test Group 4 - Site and Page Management,,,,,,,,,
Upgrades,,"Personal, private, organization and user group sites",4a,Manual,,,,,,,Delegate to other product teams
Upgrades,,Site settings,4b,Manual,,,,,,,Delegate to other product teams
Upgrades,,Site memberships,4c,Manual,,,,,,,Delegate to other product teams
Upgrades,,Portlet configuration,4d,Manual,,,,,,,Delegate to other product teams
Upgrades,,Page configurations,4e,Manual,,,,,,,Delegate to other product teams
Upgrades,,Test Group 5 - Asset Persistence,,,,,,,,,
Upgrades,,Draft articles,5a,Manual,,,,,,,Delegate to other product teams
Upgrades,,Structures and templates,5b,Manual,,,,,,,Delegate to other product teams
Upgrades,,Staged assets,5c,Manual,,,,,,,Delegate to other product teams
Upgrades,,Staged site pages with nested portlets,5d,Manual,,,,,,,Delegate to other product teams
Upgrades,,Assets display in nested portlets,5e,Manual,,,,,,,Delegate to other product teams
Upgrades,,Tagged and categorized assets,5f,Manual,,,,,,,Delegate to other product teams
Upgrades,,Deleted assets,5g,Manual,,,,,,,Delegate to other product teams
Upgrades,,DDL record with populated web content fields,5h,Manual,,,,,,,Delegate to other product teams
Upgrades,,DDL record with nested required fields,5i,Manual,,,,,,,Delegate to other product teams
Upgrades,,Creating Forms,5j,Manual,,,,,,,Delegate to other product teams
Upgrades,,Updating Forms,5k,Manual,,,,,,,Delegate to other product teams
Upgrades,,Workflow,5l,Manual,,,,,,,Delegate to other product teams
Upgrades,,Polls,5m,Manual,,,,,,,Delegate to other product teams
Upgrades,,Calendar,5n,Manual,,,,,,,Delegate to other product teams
Upgrades,,Message Boards,5o,Manual,,,,,,,Delegate to other product teams
Upgrades,,Documents and Media,5p,Manual,,,,,,,Delegate to other product teams
Upgrades,,Blogs,5q,Manual,,,,,,,Delegate to other product teams
Upgrades,,Notifications,5r,Manual,,,,,,,Delegate to other product teams
Upgrades,,Comments,5s,Manual,,,,,,,Delegate to other product teams
Upgrades,,Attachments,5t,Manual,,,,,,,Delegate to other product teams
Upgrades,,Test Group 6 - User and System Management,,,,,,,,,
Upgrades,,Organizations,6a,Functional,-,5,,,,,OrganizationUpgrade#AddUserandSuborganizationAfterUpgrade
Upgrades,,Organizations (TS and 6.1.10 on MySQL),6b,Functional,-,4,,,,,OrganizationUpgrade#AddUserandSuborganizationAfterUpgrade
Upgrades,,Users,6c,Functional,-,5,,,,,UserUpgrade#ViewAndEditUserAfterUpgrade
Upgrades,,System settings,6d,Functional,-,5,,,,,PortalConfigurationUpgrade#ViewPortalConfigurationAfterUpgrade
Upgrade Enhancments,Upgrade Enhancements,,,,,,,,,,
Upgrade Enhancments,,Test Group 1 - Module Upgrade Framework,,,,,,,,,
Upgrade Enhancments,,Revert fix packs with micro schema version changes (LPS-76926),1a,Functional,-,5,,,,,PatchingTool#RevertFixPack
Upgrade Enhancments,,Revert modules with micro schema version changes,1b,Functional,-,4,,,,,UpgradeEnhancment#RemoveModulesWithSchemaVersionChange
Upgrade Enhancments,,Changes in minor version won’t allow you to revert the module,1c,Functional,-,4,,,,,UpgradeEnhancment#RemoveModulesWithSchemaVersionChange
Upgrade Enhancments,,Changes in major version won’t allow you to revert the module,1d,Functional,-,4,,,,,UpgradeEnhancment#RemoveModulesWithSchemaVersionChange
Upgrade Enhancments,,Revert PR changes to latest fix pack,1e,Functional,30,5,,,,,batch > revertable-changes-jdk8
Upgrade Enhancments,,Test Group 2 - Core Upgrade Framework,,,,,,,,,
Upgrade Enhancments,,Latest schema version is set in the Core after an upgrade to 7.1,2a,Manual,30,5,,,,,https://issues.liferay.com/browse/LRQA-42923
Upgrade Enhancments,,Track that we can run the upgrade process for the Core from the latest failing point,2b,Manual,30,5,,,,,https://issues.liferay.com/browse/LRQA-42924
Upgrade Enhancments,,Core schema version does not match with the latest major and minor version,2c,Manual,30,4,,,,,https://issues.liferay.com/browse/LRQA-42929
Upgrade Enhancments,,Core schema version does not match with the latest micro version,2d,Manual,30,3,,,,,https://issues.liferay.com/browse/LRQA-42930
Upgrade Enhancments,,Test Group 3 - Non supported upgrade paths in 7.1+,,,,,,,,,
Upgrade Enhancments,,Direct upgrades from 6.0.x > 7.1  (LPS-76929),3a,Functional,-,4,,,,,UpgradeEnhancement#DirectUpgradeFromArchive6012
Upgrade Enhancments,,Direct upgrades from 6.1.x > 7.2  (LPS-88381),3b,Functional,-,4,,,,,UpgradeEnhancement#DirectUpgradeFromArchive6130
Upgrade Enhancments,,Indirect upgrades from 6.0.x > 7.0 > 7.1,3c,Manual,60,3,,,,,https://issues.liferay.com/browse/LRQA-42932
Upgrade Enhancments,,Test Group 4 - Upgrade Not Required for GA change (7.2+),,,,,,,,,
Upgrade Enhancments,,Upgrade from GA to HEAD,4a,Functional,-,4,,,,,UpgradeEnhancement#UpgradeWithoutExecutingUpgradeToolFromArchive7210
Upgrade Enhancments,,Upgrade from GA to GA,4b,Functional,-,5,,,,,UpgradeEnhancement#UpgradeWithoutExecutingUpgradeToolFromArchive7211
User Tracker,User Tracker,,,,,,,,,,
User Tracker,,Test Group 1 - UserTracker Activities,,,,,,,,,
User Tracker,,Track user simultaneous logins (See Cluster Test Plan  - Test Group 5),1a,Functional,,5,,,,,Clustering#ValidateLiveUsers
User Tracker,,Track user clicks in memory (See Cluster Test Plan for clustering setup),1b,Manual,,3,,,,,
User Tracker,,Track user clicks in the database after a user’s session is invalidated (See Cluster Test Plan for clustering setup),1c,Manual,,3,,,,,
User Tracker,,Convert tracked paths to friendly URLs (See Cluster Test Plan for clustering setup),1d,Manual,,3,,,,,
